"Nom cavité";"Alias";"Commune";"IGN";"X Lambert3";"Y Lambert3";"Latitude";"Longitude";"Altitude";"Description";"Page Taisne";"Plan"
"grotte de BROUILLAC";"";"Sarrazac";"2135 W";"539.36";"3300.82";"45.004779";"1.567396";"275";"À 500m de L'Hôpital-St-Jean, sur la route de Martel (D 23), prendre à droite la route de Cuzance (D 33) sur 900m, c'est-à-dire<br/>
jusqu'au chemin qui mène à droite aux maisons de Brouillac, face à un calvaire. La grotte s'ouvre 180m plus loin (50m avant le<br/>
croisement de l'autre route de Brouillac), à 10m à gauche (SE) de la route. Ouverture en igue de 1m20 sur 0m80 dans un bois de<br/>
chênes très clairsemés (visible de la route).";"28";""
"igue BROUQUI";"";"Miers";"2136 ET";"551.8";"3284.34";"44.857426";"1.726729";"335";"A 1km5 ENE de Miers, sur la route de Padirac (D 60), 25m après la dernière maison à droite (grand hangar) de Carrières,<br/>
franchir une claie à gauche et descendre la pente d'un pré, direction N. L'igue s'ouvre à 110m de la route, 25m après avoir franchi<br/>
les restes d'un ancien muret, et à 12m W du muret perpendiculaire à la route. Orifice recouvert de ronces et de branchages devant<br/>
un gros tas de déblais.";"28";""
"grotte de BRU";"ou du BOS - ou (probablement) des CLOUPS";"Caniac-du-Causse";"2138 OT";"546.03";"3258.5";"44.624486";"1.656434";"325";"Dans la Braunhie (voir p.27). Sur la route de Caniac à Fontanes (D 42), 150m après l'embranchement de la route de Clavel<br/>
(500m de Caniac), prendre le chemin qui descend à droite, direction ENE, jusqu'à ce qu'il passe sous une ligne électrique (480m de<br/>
la route, 235m après une mare sur la gauche). La grotte se trouve à 60m N, à 35m N du premier poteau électrique à gauche (N) du<br/>
chemin, dans un cloup : porche de 5m de haut sur 1m de large orienté WNW. Plans 70 et 74.";"28";""
"grotte des BUGADOUS";"ou igue du MAIRE";"Reilhac";"2137 E";"551.68";"3265.26";"44.685719";"1.727";"325";"À 250m du carrefour du Cornouiller, sur la route de Reilhac (D 14), prendre le chemin à gauche, direction NW, jusqu'à une petite<br/>
place triangulaire, à 400m. Suivre le chemin à gauche, direction SSW, sur 100m, et franchir une claie à droite. Aller vers la gauche<br/>
en traversant un muret effondré, puis descendre vers la droite en terrain dégagé jusqu'au fond d'une légère dépression. La grotte<br/>
s'ouvre au pied d'une petite falaise (80m WSW de la claie) : orifice de 2m50 de large sur 0m60 de haut orienté à l'ENE. 2ème orifice<br/>
désobstrué de 0m95 sur 0m40 sous un rocher à 15m SSW. Plan 62.";"28";"62"
"perte des BUIS";"ou du CÉLÉ";"Bouziès";"2138 OT";"545.45";"3243.2";"44.486749";"1.650733";"125";"À 1km du carrefour de Conduché, en bordure du Célé, sous la route de Cabrerets (D 41), 35m après le parking de la grotte-<br/>
méandre de Conduché. Impénétrable. Plan 155.";"28";"155"
"émergence de BULLAC";"";"Boussac";"2238 W";"566.24";"3255.21";"44.5961";"1.911327";"180";"À Boussac, prendre la route de Cajarc (D 48). Juste après le pont sur le Célé, prendre le chemin à droite. L'émergence se trouve<br/>
à 450m au bord gauche du chemin, après avoir laissé à droite (à 200m) un terrain de camping, et à gauche (à 350m) un groupe de<br/>
maisons. Plusieurs émergences impénétrables. Captée. Indiquée Sce sur l'IGN.<br/>
N.B. Les travaux de captage ont mis à jour une grotte dans la falaise. Plan 85.";"28";"85"
"grotte de (la) CABILLÈRE";"";"St-Simon";"2237 W";"559.98";"3267.72";"44.708364";"1.831512";"330";"Sur la route de St-Simon à Lalinié (D 25), 700m après Mas de la Vit, prendre à droite la route des Roucous. À 400m, 150m avant<br/>
un grand hangar à gauche, prendre un beau chemin à droite (ESE) et 200m plus loin suivre le chemin qui monte à gauche (NNE)<br/>
sur 160m, c'est-à-dire 15m après son point le plus haut. Franchir la clôture à droite (claie quelques mètres plus loin) et suivre sur<br/>
135m le muret perpendiculaire, doublé d'un grillage, qui descend, direction ESE, vers un beau cloup, c'est-à-dire jusqu'au moment<br/>
où, la pente s'accentuant, il oblique légèrement à droite, tandis que le grillage part à angle droit à gauche en surplombant les<br/>
escarpements de la bordure du cloup. La grotte se trouve à 25m ESE, 10m plus bas, au pied de l'escarpement (pour y accéder,<br/>
contourner par la gauche) : orifice ovale de 1m de haut sur 0m80 de large, orienté au NE, un peu au-dessus de la base de la falaise,<br/>
à 35m et 12m plus haut que la bordure du pré occupant le fond du cloup. A 8m NW et 1m50 plus bas, sous une strate au pied de la<br/>
falaise, second orifice, rectangulaire, de 0m20 de haut sur 0m80 de large. Plan 59.";"28";"59"
"gouffre de CABOUY";"";"Rocamadour";"2136 ET";"540.47";"3276.96";"44.790171";"1.584243";"115";"Une des sources de l'Ouysse. Prendre la petite route qui descend la vallée de l'Alzou au pied de Rocamadour. À 2km environ<br/>
elle franchit l'Alzou, puis monte au col de Mazès et descend dans la vallée de l'Ouysse jusqu'à la résurgence qui est captée (3km de<br/>
Rocamadour). Belle vasque de 30m de diamètre. Indiqué sur l'IGN. Plans 25 et 26.";"29";""
"igue des CABRAIRIES";"ou du TOC";"Peyrilles";"2038 E";"525.39";"3260.24";"44.638314";"1.396099";"250";"Aux Plats Bas, à 2km5 NNW de Peyrilles sur la route de Concorès (D 12), prendre à gauche la route de Dégagnazès. A 300m,<br/>
au moment où la route commence à remonter après avoir traversé la vallée, suivre le chemin à droite, direction WNW, sur 170m,<br/>
c'est-à-dire jusqu'à l'entrée d'un pré à gauche : l'igue s'ouvre à 85m WNW (50m de la limite NW du pré), dans le bois, environ 30m<br/>
plus haut que le chemin. Orifice triangulaire de 0m80 de côté recouvert de branchages.";"29";""
"grotte-cave de CABRÉJOU";"ou grotte de LACAVE";"St-Denis-lès-Martel";"2136 ET";"545.59";"3292.58";"44.931132";"1.64729";"215";"A 2km100 ENE de Martel, sur la route de St-Denis-lès-Martel (D 703), prendre à droite (SSE) la petite route qui mène à<br/>
Cabréjou, à 1km400. Là, prendre la petite route à droite (en passant entre des maisons) jusqu'au terminus du chemin qui la prolonge,<br/>
à 450m, au niveau des derniers bâtiments agricoles, et traverser en diagonale, direction S, le grand pré (ou champ) qui suit, jusqu'à<br/>
son angle S, à environ 380m. La grotte se trouve alors à 45m ESE à vol d'oiseau et 15 à 20m plus bas. Pour y aller, suivre un vague<br/>
sentier d'abord presqu'horizontal sur 20m ESE jusqu'à un éperon rocheux (belle vue sur la vallée), puis descendant WSW sur 30m,<br/>
jusqu'à une grosse dalle rocheuse rectangulaire, enfin direction E sur 35m, d'abord descendant plus raide, puis presque horizontal,<br/>
dans les buis, pour arriver à la grotte au pied d'une petite barre rocheuse de 2m50 de haut : orifice de 1m20 sur 1m20, orienté ESE.<br/>
Plan 196.";"29";"196"
"grotte de CADRIEU";"";"Cadrieu";"2238 W";"564.01";"3243.43";"44.489976";"1.884056";"160";"A 300m S de Cadrieu, dans la falaise qui surplombe la voie ferrée et la route de Cajarc (D662), sous une strate consolidée par<br/>
un mur cimenté : orifice de 1m25 de haut sur 1m50 de large, orienté à l'E, à 3m50 au-dessus de la voie ferrée, derrière un roncier<br/>
(visible de la route). Cavité artificielle en partie noyée, dangereuse.";"29";""
"igue des CAGOUILLARDS";"";"Caniac-du-Causse";"2138 OT";"547.86";"3259.26";"44.631459";"1.679418";"405";"Dans la Braunhie (voir p.27). À 3km5 de Caniac, sur la route de Fontanes (D 42), au début de la ligne droite qui borde la<br/>
Braunhie, face à la petite route qui vient de Lascombes, prendre à droite (E) le chemin qui va vers le centre de la Braunhie. À 500m,<br/>
laisser à gauche l'ancien chemin de Planagrèze et suivre tout droit (ESE) le chemin bordé de murets qui bientôt (à 150m) débouche<br/>
en terrain dégagé. 100m plus loin, à la bifurcation, prendre la branche de gauche et la suivre tout droit, direction générale ENE, jusqu'à<br/>
la bifurcation suivante, 700m plus loin, où il faut prendre la branche de droite qui, après avoir longé un muret à droite, rejoint à 150m<br/>
un autre muret en face (les 2 murets bordant alors un chemin partant vers la droite). L'igue se trouve à 20m NNE derrière le 2ème<br/>
muret, dans un terrain avec genévriers parsemés. Orifice en fissure de 1m20 sur 0m40 orientée SE-NW. Plans 70 et 139.";"29";""
"igue de CAGUEPEYRE";"ou gouffre PONS (de Borel)";"Reilhac";"2137 E";"549.92";"3267.28";"44.703778";"1.704603";"345";"Sur la route de Reilhac à Lunegarde (D 42), à 700m du Lac de Reilhac, prendre à droite (WNW) une petite route castinée.<br/>
À 600m prendre un chemin à droite (le 2 à partir de la D42), au niveau d'un gros tas de pierres. Ce chemin, d'abord direction NW,<br/>
tourne, 80m plus loin, vers la droite direction NE et s'encaisse entre 2 murets. À environ 200m de la route castinée, 20m après un<br/>
élargissement des murets et un embranchement à gauche, le chemin est bouché par des ronces. Prendre alors un passage à gauche<br/>
et traverser en diagonale (direction NE) un bois clairsemé. Un nouveau passage donne alors accès à un terrain plus dégagé avec<br/>
genévriers. L'igue s'ouvre à 30m NE (à 17m du muret de droite), non loin d'une petite bergerie. Fissure de 1m sur 0m35 recouverte<br/>
de pierres, au pied d'un genévrier et jouxtant une dalle rocheuse affleurante. Plan148.<br/>
e";"29";""
"perte du CAILLÉ";"";"Gramat";"2137 E";"551.59";"3276.73";"44.788932";"1.724789";"308";"1km N de Gramat. À droite de la route qui joint la D 14 venant de Gramat à la D 36 venant de Rignac, face à la fontaine<br/>
(émergence) de Commande, le ruisseau venant du Caillé se perd à son passage sous un chemin.";"29";""
"grotte de CAILLE";"";"Labastide-Marnhac";"2039 E";"526.87";"3231.38";"44.378743";"1.418811";"285";"A Labastide-Marnhac, suivre la route de Lhospitalet (D 67) sur 600m et prendre à gauche la route de Caille jusqu'à sa jonction<br/>
avec la route de Cahors (D 659), à 1km400. Suivre cette dernière à gauche (vers Cahors) sur 125m. La grotte se trouve à 30m à<br/>
gauche (WNW) de la route, légèrement en contrebas de la clôture d'une propriété : orifice de 0m50 de large sur 0m80 de haut, orienté<br/>
à l'E, dans un creux.";"29";""
"grotte et igue de CAILLON : Igue :";"";"Floirac";"2136 ET";"547.59";"3290.82";"44.915443";"1.672805";"225";"À 500m de Floirac, sur la route de Carennac (D 43), prendre à droite le chemin qui remonte le vallon de Caillon (carrossable).<br/>
À 350m de la route, juste après le 2E pont sur le ruisseau (généralement à sec), monter le chemin qui part à droite direction<br/>
WNW sur 170m, c'est-à-dire jusqu'au moment où, presque au sommet, il tourne à gauche (angle d'un muret au N) : la grotte<br/>
s'ouvre à 20m NNE, environ 5m plus bas que le chemin, au pied d'un petit escarpement rocheux de 3m50 de haut.<br/>
Continuer à remonter le chemin du vallon de Caillon sur 850m (1200m de la route), au niveau de l'extrémité SE d'un pré en contrebas<br/>
(à l'extrémité NW de ce pré se trouve une petite grange) : l'igue se trouve 2m à gauche et au-dessus du chemin. Orifice en forme de<br/>
fissure de 0m60 sur 4m, orientée comme le chemin. Indiquée sur l'IGN. Plan 4.";"30";"4"
"faille de la CAL";"ou PC3";"Cabrerets";"2138 OT";"546.76";"3246.04";"44.512406";"1.666912";"190";"A 1km5 du pont de Cabrerets, sur la route de Sauliac (D 41), 170m après une belle maison à droite en contrebas (lieudit<br/>
Trédède), 80m après le virage, presqu'en face du départ (parking) d'un chemin descendant au Célé, grimper la petite falaise bordant<br/>
la route à gauche (3 barreaux en fer scellés) et par un sentier raide gagner le pied de la haute falaise qui domine la route derrière les<br/>
arbres. Suivre alors vers la gauche, direction S, le sentier qui longe cette falaise (il s'agit de l'extrémité du chemin qui part de<br/>
Cabrerets, au Bout-du-Lieu, et passe au cuzoul de Rémi). A envion 350m, quelques mètres après avoir tourné à gauche en<br/>
traversant un petit vallon perpendiculaire, quitter le chemin qui devienr impraticable, mais continuer à la suivre par au-dessus sur<br/>
150m, c'est-à-dire jusqu'au moment où il rencontre un muret venant de droite. Descendre alors dans l'ancien chemin et revenir de<br/>
quelques mètres en arrière (direction E) jusqu'à un muret perpendiculaire descendant à droite direction S. La grotte se trouve à 15m<br/>
WNW (presque dans le prolongement de ce muret), à 3m50 sous le rebord de la petite falaise qui borde côté E un petit vallon très<br/>
raide descendant vers le Célé. Orifice triangulaire de 2m20 de haut sur 2m de large à la base, orienté à l'W, marqué PC3 en rouge.<br/>
Second orifice à 30m E.<br/>
N.B. On peut aussi y accéder en venant du Bout du Lieu : la grotte se trouve à environ 100m ESE du cuzoul de Rémi. Plan 168.";"30";"168"
"émergence de la CALEILLE";"ou de la TUILERIE - ou goule de MARCENAC";"Cabrerets";"2138 OT";"545.68";"3244.0";"44.493966";"1.653541";"140";"Vallée du Célé. À 2km de Conduché, dans un coude de la route de Cabrerets (D 41), face à la borne km55, 70m avant une<br/>
maison isolée à gauche : ouverture au pied de la falaise, au moment où celle-ci s'écarte de la route, légèrement en contrebas, derrière<br/>
des fourrés. Indiquée sur l'IGN. Plan 102.";"30";"102"
"grotte de CALÈS";"";"Calès";"2136 ET";"537.09";"3280.06";"44.817781";"1.541152";"225";"À 500m N de Calès, sur la route de Lacave (D 23), 150m avant l'embranchement de la route de Souillac, franchir un passage<br/>
dans le muret de droite (E) et descendre en longeant la clôture perpendiculaire à la route (et une plantation régulière d'arbres),<br/>
jusqu'au muret situé au changement de pente (100m de la route). La grotte s'ouvre 12m plus bas : beau porche triangulaire de 4m<br/>
de large sur 3m de haut orienté SSE. Indiquée sur l'IGN.";"30";""
"2 igues de la CALLEBONDE : n°2 :";"";"Caniac-du-Causse";"2138 OT";"547.45";"3259.59";"44.634399";"1.674217";"370";"Dans la Braunhie (voir p.27). À 3,5km de Caniac sur la route de Fontanes (D 42), au début de la ligne droite qui borde la Brauhnie,<br/>
en face de la petite route qui vient de Lascombes, prendre à droite (E) le chemin qui va vers le centre de la Braunhie ; à 500m, laisser<br/>
à gauche le chemin de Planagrèze et suivre tout droit, direction ESE, le chemin bordé de murets qui bientôt (à 150m) débouche en<br/>
terrain dégagé. 100 mètres plus loin, à la bifurcation, prendre la branche de gauche et la suivre tout droit, direction générale ENE,<br/>
jusqu'à la bifurcation suivante, 700m plus loin, où il faut prendre à gauche, pour arriver, 200m plus loin, à la limite du bois, le chemin<br/>
se terminant sur un autre chemin perpendiculaire. Suivre ce chemin à gauche (NNW) pendant 280m (en laissant à droite les Trois<br/>
Marmites et le chemin de l'igue de Pépin) et s'arrêter 40m après une claie à droite. Franchir le muret de gauche (W) et suivre un muret<br/>
perpendiculaire sur 200m, c'est-à-dire jusqu'au moment où il traverse l'extrémité NW d'un léger effondrement. L'igue n°1 s'ouvre à<br/>
14m SSE du muret, en bordure SW de l'effondrement : orifice de 70cm sur 40cm dans une fissure rocheuse orientée SSE-NNW, à<br/>
1m50 sous le rebord de l'effondrement. L'igue n°2 s'ouvre à 12m ESE de l'igue n°1 : ouverture de 1m sur 1m50, à 1m sous le rebord<br/>
de l'extrémité ESE de l'effondrement. Plan 139.";"30";"139"
"igue de la CALOTTE";"ou grande igue de WAÏFFIER (ou GAÏFIÉ)";"St-Jean-de-Laur";"2239 W";"560.68";"3239.52";"44.454614";"1.842484";"285";"À St-Jean-de-Laur, prendre la route du domaine de Gayfié. A 1km5, laisser à droite la route de Salvagnac-Cajarc et continuer<br/>
tout droit. 600m plus loin laisser à droite le portail du domaine de Mas de Couderc et continuer encore pendant 2km3, c'est-à-dire<br/>
130m avant la l'entrée du domaine de Gayfié. Prendre alors le chemin qui part à droite, direction E, et monte à un dolmen 100m plus<br/>
loin. L'igue s'ouvre à 45m SSE du dolmen, en terrain dégagé : vaste orifice de 2m sur 1m20, en partie recouvert de madriers. N.B. -<br/>
Pour la moyenne igue, voir à WAÏFFIER. Plan 120.";"31";"120"
"igue de CAMBIGUE";"";"Carennac";"2136 ET";"552.1";"3287.35";"44.884532";"1.730244";"285";"À l'entrée de Magnagues (2km SSE de Carennac), prendre la première route à droite, direction SE, jusqu'à un carrefour à<br/>
130m. Là, prendre à droite, direction générale SSW, en passant près d'un abreuvoir (sur la droite, marqué sur l'IGN) à 600m du<br/>
carrefour. Continuer le chemin, toujours direction SSW. À 700m, laisser à droite un chemin direction W, et 200m plus loin, à gauche,<br/>
le chemin des igues de Magnagues, et continuer encore (direction S) sur 500m, c'est-à-dire 150m après avoir laissé un chemin SSE<br/>
à gauche. Franchir le muret de gauche et suivre un muret perpendiculaire, direction SE (140°) sur 140m, c'est-à-dire jusqu'à un muret<br/>
perpendiculaire partant sur la droite direction SSW (207°). L'igue se trouve à 10m W de l'angle des murets, au pied d'un arbre,<br/>
entourée de monticules de pierres moussues bien visibles. Orifice rectangulaire de 0m40 sur 0m50 à l'extrémité SE d'une étroite<br/>
fissure de 3m de longueur orientée NW-SE. Plan 6.";"31";"6"
"trou del CAMINOL";"";"Lachapelle-Auzac";"2036 ET";"531.85";"3294.71";"44.94913";"1.472959";"185";"A 6km de Souillac, sur la route de Gignac (D 15), 1km après la Forge, prendre à droite la route du Boulet, puis, 1km2 plus loin,<br/>
à gauche, la route du Touron sur 2km environ, c'est-à-dire 450m après avoir dépassé ces maisons et 100m avant que la route ne<br/>
traverse le vallon, au niveau d'un chemin montant à travers bois à gauche, direction NW. Suivre ce chemin sur 40m. Le trou est à<br/>
25m à gauche (SW) du chemin : orifice de 0m70 sur 0m40 dans la pente, 2 mètres derrière un tas de pierres moussues, environ 10m<br/>
plus haut que la route.";"31";""
"igue n°4 du CAMP DE COMBESCURE";"";"Le Bastit";"2137 E";"545.6";"3265.57";"44.688078";"1.650272";"375";"A 900m SSW de Dagues, sur la petite route (D 146) qui relie Le Bastit à Fontanes-du-Causse, franchir à droite (W) un large<br/>
portail métallique donnant accès à un beau chemin, menant, à 450m WSW, à une barrière dans un muret, à 25m à droite (N) d'une<br/>
grande bergerie. L'igue s'ouvre à 68m WNW, à 8m SSW d'un muret : orifice de 0m50 sur 1m30, en terrain dégagé. Plan 39.";"31";"39"
"igues n°5 et 6 du CAMP DE COMBESCURE : n°6 :";"";"Le Bastit";"2137 E";"545.46";"3265.86";"44.690677";"1.648475";"370";"A 5km du Bastit, sur la route de Labastide-Murat (D 677), au carrefour de la route de Carlucet (D 32), prendre à gauche (SE) la petite<br/>
route de Dagues et la suivre sur 2km5, c'est-à-dire 300m après son point le plus haut, au niveau d'une petite ruine de bergerie à droite<br/>
(SE). L'igue n°5 se trouve à 70m de la route, à 53m SSE de la bergerie. Orifice de 70cm de diamètre, au ras du sol, en terrain dégagé,<br/>
au bord d'un vague chemin (traces de roues).<br/>
L'igue n°6 se trouve à 40m SSW de la précédente, et à 8m E de l'angle de deux murets : orifice oval de 0m70 sur 1m. Plan 39.";"31";"39"
"puits de (émergence ?) CAMY";"";"Varaire";"2139 E";"548.78";"3232.66";"44.392133";"1.693634";"235";"Curieux puits couvert, dans la combe à 100m WSW derrière le bâtiment principal de la ferme de Camy-haut. Indiqué sur l'IGN.";"31";""
"émergence du CANAL";"";"St-Cirq-Lapopie";"2138 OT";"545.35";"3241.68";"44.473062";"1.649636";"130";"En bordure du canal de l'écluse de Ganil, environ 350m avant d'arriver à cette dernière, au niveau de la dernière maison à<br/>
droite, sous le GR. Orifices bâtis, impénétrables, donnant directement dans le canal.";"31";""
"igue à CANIAC";"";"Caniac-du-Causse";"2138 OT";"545.36";"3258.05";"44.620386";"1.648038";"340";"Sur la route de Fontanes à Caniac (D 42), 150m après l'embranchement de la route de Clavel (D 71) et 200m avant le cimetière<br/>
de Caniac, dans le virage vers la droite, franchir une petite barrière à gauche (S) et descendre un terrain inculte presque jusqu'au fond<br/>
de la combe. L'igue s'ouvre à 20m dans le prolongement du muret bordant le terrain à droite (W), à environ 130m de la route. Orifice<br/>
(bouché) de 60cm de diamètre, dans l'herbe.";"32";""
"igues n°1 (ou igue n°2 de MONCLAR ) et n°2 de (ou du) CANON : n°2 :";"";"Cabrerets";"2138 OT";"547.63";"3244.58";"44.499329";"1.678001";"300";"Juste après avoir traversé le pont de Cabrerets, prendre à droite la route qui monte vers la partie S de la forêt de Monclar. Au plus<br/>
haut de la route (1km5 de Cabrerets) tourner à gauche vers la cote 312 (borne) qu'on laisse à droite, et le centre de la forêt. À 800m<br/>
de la route, au carrefour de la cote 307 (citerne jaune des Eaux et Forêts à droite, et dolmen à gauche), prendre le chemin de droite,<br/>
direction SE, pendant 400m, c'est-à-dire 30m avant d'arriver à une barrière. Suivre alors un vague sentier qui part 15m à droite du<br/>
chemin (cairn), direction SSW, et mène à l'igue n°2, à 75m du chemin : orifice rocheux en diaclase orientée NNE-SSW, de 0m40<br/>
sur 1m10. L'igue n°1 se trouve alors à 90m SW : orifice rocheux de 25cm sur 60cm. Plan 143.";"32";"143"
"grotte-refuge du CAÑON DE L'ALZOU";"ou grotte amont du MOULIN du SAUT";"Gramat";"2136 ET";"547.62";"3276.87";"44.789915";"1.674607";"260";"Dans le premier virage à gauche du chemin qui remonte du moulin du Saut rive droite, suivre direction E, au pied de la falaise<br/>
supérieure, les vires rocheuses sur 170m, c'est-à-dire jusqu'à un bouquet d'arbres dans un renfoncement. C'est là que s'ouvre la<br/>
grotte, derrière une petite plateforme herbue : porche bas de 1m75 de haut sur 8m de large, barré par les soubassements d'un mur<br/>
ancien en pierres de taille, orienté ESE. Plan 24.";"32";"24"
"grottes du (ou de) CANTAL : n°2 :";"";"Cabrerets";"2138 OT";"546.23";"3245.49";"44.507417";"1.660302";"135";"À Cabrerets, après avoir traversé le pont, juste avant la route qui monte à gauche à Monclar, prendre le sentier qui suit la rive<br/>
gauche du Célé vers l'amont, en traversant une propriété privée. À 150m du pont, à 30m de la rive du Célé, au fond d'une petite<br/>
prairie et à son niveau, s'ouvre la grotte n°2 (émergence fossile) : porche rectangulaire de 2m50 de haut sur 3m de large.<br/>
Continuer le sentier qui monte petit à petit à mesure que la falaise se rapproche du Célé, pour aboutir, à 300m du pont, à la grotte<br/>
préhistorique (juste en face du terrain de camping). Porche de 3m50 de haut sur 2m50 de large dominant le Célé d'une dizaine de<br/>
mètres. 2ème orifice quelques mètres plus loin. Plan 156.";"32";"156"
"igue de CANTECOR";"ou des ROCADES";"Alvignac";"2136 ET";"548.2";"3282.21";"44.83801";"1.681399";"370";"Face au portail de Cantecor (1km5 NW d'Alvignac), franchir le muret qui borde la route et monter, direction SW, à un chêne<br/>
isolé au sommet du pech (250m de la route) : l'igue s'ouvre dans une petite falaise orientée au SSE. Indiquée sur l'IGN. Plan 13.";"32";"13"
"igue de CANTEGORD";"";"Nadillac";"2138 OT";"534.96";"3253.77";"44.581011";"1.517533";"345";"A 1.200m de la N 20 sur la route de Nadillac (D 22), s'arrêter 100m après la maison de Cantegord, au niveau d'une maison<br/>
isolée à droite. Prendre à gauche, à partir du pignon de cette maison, et marcher pendant 385m en suivant la direction Est, d'abord<br/>
à travers un fouillis d'arbustes et de ronces. L'igue s'ouvre sur une croupe en promontoire, 60m après avoir traversé un espace<br/>
relativement dégagé, dans la pente devenant assez raide et dans un bois de petits chênes (arbres marqués de peinture rouge à partir<br/>
de la rupture de pente), 45m plus haut (en dénivellé) que le fond du vallon. Orifice de 40cm sur 70cm, visible dans la pente. Indiquée<br/>
sur l'IGN.";"32";""
"grotte de CAPELLE";"ou des OSSEMENTS";"Marcilhac-sur-Célé";"2138 OT";"555.17";"3250.22";"44.550592";"1.772328";"220";"A 300m du pont de Marcilhac, sur la route de Cajarc (D17), grimper la pente à droite jusqu’au pied de la falaise, en passant sur<br/>
la gauche d’un beau “rognon” rocheux bien visible, et suivre vers la droite (SW) la base de cette falaise, en passant devant le vaste<br/>
porche de la grotte du Maire. La grotte de Capelle se trouve à 225m de cette dernière, 100m après être passé 4m en-dessous de la<br/>
grotte des Gours : orifice de méandre d’environ 10m de haut et 2 à 3m de large, en partie obstrué par un gros bloc, orienté à l’W.";"32";""
"grotte CAPI";"";"Cabrerets";"2138 OT";"546.44";"3245.72";"44.509502";"1.66292";"225";"À la sortie de Cabrerets, sur la route de Sauliac (D 41), au niveau du camping du Cantal, prendre la petite route qui monte aux<br/>
maisons du Bout du Lieu. À 60m, prendre le chemin à droite (d'abord large et goudronné) qui monte à flanc de coteau et, après 4<br/>
lacets, à environ 350m du Bout du Lieu, devient bientôt horizontal, parallèle à la vallée. Continuer encore le chemin sur 75m, c'est-à-<br/>
dire 6m après un sentier montant à gauche et 4m après une marque jaune sur une pierre du muret de droite. L'orifice inférieur de la<br/>
grotte s'ouvre à droite dans les buis, 3m sous le chemin : porche de 1m50 de haut sur 3m de large orienté vers la vallée (ENE).<br/>
L'orifice supérieur se trouve à environ 50m SSW sur le plateau, à 60m NE d'un pylone haute tension qui domine la falaise. Pour y<br/>
aller, monter le sentier SSW rencontré 6m avant d'arriver à l'orifice inférieur. À une quarantaine de mètres il oblique à droite, direction<br/>
NW, et approche de l'horizontale, au niveau d'un grillage qui le ferme. Franchir le muret de gauche : l'orifice supérieur se trouve à<br/>
20m SSW. Trou de 80cm de haut sur 1m20 de large dans un léger creux, à ras du sol, dans les buis au pied de grands arbres, devant<br/>
un muret à demi effondré. Plan 156.";"33";"156"
"émergence du CAPISTAN";"";"Lacave";"2136 ET";"538.98";"3283.74";"44.851058";"1.56461";"100";"Sous la route (rambarde métallique) de Lacave à Meyronne (D 23), 425m après le cimetière de Lacave. Plan 10.";"33";"10"
"émergence de CAQUEREY (OU CACREY)";"";"Creysse";"2136 ET";"541.8";"3290.46";"44.91176";"1.599521";"115";"À mi chemin entre St-Sozy et Creysse (D 14), prendre à gauche (direction N) la petite route qui mène à Boutière et au moulin<br/>
de Cacrey (4km5 de St-Sozy). L'émergence alimente directement la retenue du moulin. Indiquée Source sur l'IGN.";"33";""
"igue (n°1) de CARBONIÉ";"";"Sauliac-sur-Célé";"2138 OT";"550.87";"3244.46";"44.498476";"1.718754";"315";"A 3,8 km du pont de Sauliac, sur la route de St-Martin-Labouval (D 24), 60m après le dernier bâtiment de la ferme de Carbonié,<br/>
franchir un passage à droite (W) et suivre un muret direction générale WNW pendant 100m, c'est-à-dire jusqu'au moment où il tourne<br/>
franchement vers le N. L'igue se trouve à 35m SSW, dans la pente d'un bois de chênes clairsemés. Orifice de 6m sur 8m, dominé<br/>
par de grands chênes et entouré d'un grillage. Plan 96.<br/>
N.B.- Ne pas confondre avec l'igue de GENIEZ, parfois appelée (abusivement !) igue de CARBONIÉ.";"33";"96"
"igue n°2 de CARBONIÉ";"";"Sauliac-sur-Célé";"2138 OT";"551.23";"3244.69";"44.50057";"1.723259";"270";"À environ 6km de St-Martin-Labouval, sur la route de Sauliac (D 24), 200m après la ferme de Carbonié, suivre à droite (E) une<br/>
petite route pendant 400m. Franchir une barrière à droite et traverser la combe cultivée en suivant une clôture (direction S) pendant<br/>
70m, c'est-à-dire jusqu'au muret perpendiculaire qui borde un bois. Suivre ce muret (limite entre le champ et le bois) direction W, puis<br/>
SW, pendant 90m, c'est-à-dire 25m après un vaste tas de pierres. L'igue s'ouvre en bordure du champ à 2m du muret. Orifice de 1m<br/>
sur 1m50. Plan 96.";"33";"96"
